#tau_s	sigma2_x	sigma2_y	sigma2_z	K_used
125	3.492308952074e-10	9.683810925089e-10	1.162577597380e-09	27
126	3.335715457932e-10	7.293757303612e-10	7.937556991325e-10	27
127	3.713789235155e-10	8.909199240815e-10	6.965499833490e-10	27
128	4.133885014779e-10	8.368042171977e-10	9.459285046493e-10	27
129	2.952408798291e-10	7.150627851451e-10	8.944565563877e-10	26
130	2.741436559944e-10	7.695643482181e-10	8.487035300469e-10	26
131	3.264540161201e-10	8.282001301461e-10	8.792340104947e-10	26
132	3.607450786549e-10	8.002268200906e-10	8.478814215190e-10	26
133	4.052782939942e-10	8.289323050413e-10	8.219077282296e-10	26
134	3.422101153678e-10	8.069450574144e-10	1.078301868746e-09	25
135	3.067965478791e-10	6.733863665977e-10	1.177564654799e-09	25
136	2.854511734314e-10	6.203275669380e-10	1.318098044864e-09	25
137	3.055611254758e-10	6.491403148690e-10	1.010374728792e-09	25
138	3.907218943871e-10	7.437205928217e-10	8.685440748874e-10	25
139	3.472972457866e-10	9.040858133533e-10	9.786862828296e-10	24
140	3.010937362147e-10	8.963404634103e-10	1.040737539572e-09	24
141	3.151166573793e-10	7.926645196825e-10	1.042804856326e-09	24
142	3.414219215580e-10	7.979816736912e-10	9.361663677388e-10	24
143	4.155421168585e-10	8.148539494950e-10	9.871255864514e-10	24
144	5.105128979916e-10	8.307921481275e-10	8.819759120906e-10	24
145	4.016386223762e-10	9.784016603904e-10	1.149114378032e-09	23
146	3.634544236055e-10	9.812849840773e-10	1.234539060295e-09	23
147	3.195579299206e-10	9.182467579950e-10	1.007701664259e-09	23
148	3.043042663856e-10	7.260084624804e-10	9.567402947876e-10	23
149	2.585015582841e-10	7.528726155044e-10	9.824544751410e-10	23
150	3.025425850742e-10	6.017973095685e-10	9.637488471056e-10	22
151	3.304989032013e-10	6.570535911411e-10	1.146574727817e-09	22
152	2.983843945022e-10	6.687038798739e-10	1.101287863953e-09	22
153	3.416225852580e-10	8.166762811851e-10	1.002394976932e-09	22
154	3.348698234792e-10	7.324923007732e-10	9.409328741483e-10	22
155	3.102978599839e-10	6.753016816035e-10	8.864906891204e-10	22
156	3.466816437823e-10	7.423647596305e-10	7.391347791803e-10	22
157	3.541189709837e-10	7.065114128529e-10	1.001216713835e-09	21
158	3.690095087566e-10	7.927541886412e-10	8.041055499659e-10	21
159	3.407621421142e-10	8.348095959576e-10	9.253140316282e-10	21
160	3.564072195914e-10	9.044735517281e-10	8.971780010113e-10	21
161	3.252285912552e-10	9.783938557430e-10	8.593832528364e-10	21
162	2.935452389703e-10	9.031841822160e-10	9.163605724957e-10	21
163	3.171465996116e-10	8.331581331219e-10	8.932314691419e-10	21
164	3.844773908124e-10	7.812257162686e-10	1.080301068314e-09	20
165	4.294041863890e-10	8.108911792282e-10	1.006246927859e-09	20
166	3.752833483644e-10	7.589176516005e-10	1.155437691240e-09	20
167	3.706276165266e-10	8.943087251207e-10	1.144427272750e-09	20
168	3.108527639841e-10	9.825254239074e-10	1.160809699531e-09	20
169	2.892746289283e-10	9.757513058609e-10	1.146298380428e-09	20
170	2.845641417388e-10	1.020724671194e-09	1.042075147031e-09	20
171	2.802343937736e-10	9.724824436264e-10	7.365944879239e-10	20
172	2.868916880389e-10	8.831549025122e-10	5.299952285570e-10	19
173	2.930927043693e-10	6.718151724133e-10	4.420876813753e-10	19
174	2.941787249780e-10	6.402367034187e-10	5.735703997670e-10	19
175	3.474905004345e-10	6.290308788400e-10	6.059587423038e-10	19
176	3.662902419975e-10	6.169985954084e-10	4.956277708837e-10	19
177	3.860378663856e-10	7.734103419218e-10	6.297309652318e-10	19
178	3.430426427739e-10	8.201184409416e-10	9.220404933205e-10	19
179	3.987797599832e-10	7.556999886109e-10	1.227196566297e-09	19
180	4.558689992976e-10	9.816313424104e-10	1.126748697779e-09	19
181	4.982824802963e-10	9.584884595466e-10	1.127029726214e-09	18
182	4.469154982662e-10	8.974154275914e-10	9.538305103182e-10	18
183	4.143193783562e-10	8.449033301484e-10	9.961949722208e-10	18
184	3.337178016179e-10	8.351696958792e-10	9.960175604346e-10	18
185	3.890020362171e-10	8.107148891271e-10	1.162552292698e-09	18
186	3.277963070560e-10	8.545294134745e-10	1.193393739786e-09	18
187	3.029341052077e-10	9.448736255487e-10	9.296784377237e-10	18
188	2.709416944168e-10	9.987778960984e-10	9.043029595376e-10	18
189	2.920088152938e-10	9.342402064309e-10	6.106544690224e-10	18
190	2.584415413622e-10	9.385933416278e-10	6.356596346324e-10	17
191	2.729203149568e-10	1.027170954058e-09	7.933317232750e-10	17
192	3.972931269377e-10	9.631187123605e-10	8.559937541976e-10	17
193	4.124476240978e-10	1.021557064361e-09	7.926989783089e-10	17
194	4.362126561874e-10	9.629030117592e-10	5.716758098167e-10	17
195	5.021993459571e-10	1.042468246203e-09	4.386210550987e-10	17
196	5.089273018559e-10	1.061647281513e-09	3.692394036886e-10	17
197	4.872147854180e-10	1.098260418179e-09	5.712501236004e-10	17
198	4.311864682413e-10	1.039989329997e-09	6.515736261136e-10	17
199	3.605890046069e-10	9.399432408542e-10	7.681976583590e-10	17
200	3.665043275595e-10	9.624241830969e-10	8.398507689336e-10	17
201	3.439876225395e-10	9.346663574352e-10	9.043671499140e-10	16
202	3.078482096580e-10	8.190742877096e-10	1.114324949775e-09	16
203	2.568635948844e-10	8.794697783987e-10	1.119787890973e-09	16
204	2.577068964967e-10	8.314336574970e-10	1.152253845932e-09	16
205	2.663930154658e-10	7.853143727408e-10	1.301980238088e-09	16
206	2.735270202645e-10	7.019096556499e-10	1.177087276334e-09	16
207	2.759414591205e-10	6.937641281493e-10	1.069080696209e-09	16
208	3.061874635761e-10	7.221697413989e-10	9.840852181115e-10	16
209	3.189298300613e-10	7.226176075987e-10	9.326992623958e-10	16
210	3.109820384630e-10	7.608111397079e-10	6.702189320635e-10	16
211	4.272133101559e-10	7.677906623934e-10	5.548688067258e-10	16
212	4.422948034986e-10	7.879593619633e-10	4.672508360833e-10	15
213	4.896723442365e-10	7.862188610244e-10	4.474054475016e-10	15
214	5.171299994692e-10	9.246378906432e-10	4.955893968873e-10	15
215	5.212482481509e-10	8.630798163366e-10	4.089205506708e-10	15
216	4.845448471463e-10	8.638823671152e-10	4.359798785093e-10	15
217	3.833015402063e-10	8.476297208525e-10	6.200306074025e-10	15
218	3.700092729280e-10	8.154081369501e-10	6.412393743475e-10	15
219	3.468492810765e-10	7.958851917969e-10	8.110394047219e-10	15
220	3.217955469110e-10	7.705167360428e-10	8.224118762264e-10	15
221	3.204524818480e-10	7.415162368232e-10	7.853575978791e-10	15
222	2.858803639539e-10	7.298024768242e-10	7.257521707976e-10	15
223	3.080620388159e-10	7.922378428531e-10	7.224104083096e-10	15
224	3.056337501864e-10	8.050942857480e-10	6.795057060208e-10	15
225	3.536391254327e-10	8.451496155018e-10	7.639603877505e-10	14
226	2.919899263032e-10	9.200880871150e-10	8.294650169338e-10	14
227	3.093410791443e-10	8.724445798307e-10	8.708722978824e-10	14
228	3.462783844298e-10	8.897753451783e-10	7.192194067254e-10	14
229	3.593469669937e-10	9.341486433814e-10	6.061717183103e-10	14
230	2.753412775591e-10	9.234673492524e-10	5.606058302278e-10	14
231	2.580122751254e-10	9.440190618729e-10	5.238435232900e-10	14
232	2.653116729693e-10	9.281098987247e-10	4.778033888052e-10	14
233	3.276251558997e-10	9.568552148790e-10	4.721953171104e-10	14
234	3.887459783343e-10	9.644831920025e-10	4.816131002024e-10	14
235	4.278710203534e-10	9.791970893578e-10	5.596313766695e-10	14
236	4.531742281898e-10	1.052556369165e-09	5.361954213639e-10	14
237	5.394985690596e-10	1.060975037188e-09	6.664456064639e-10	14
238	5.281330782160e-10	1.032631246234e-09	7.862157125878e-10	14
239	4.989355513955e-10	9.391274595849e-10	9.404616558853e-10	14
240	5.587124464460e-10	9.770510482694e-10	7.483563772842e-10	13
241	4.729919525167e-10	1.016815306523e-09	6.409911168758e-10	13
242	4.245383396449e-10	1.004147233754e-09	5.687410999380e-10	13
243	4.009258133429e-10	8.800291776623e-10	5.449909053613e-10	13
244	3.768087339349e-10	7.805278278196e-10	4.840033835407e-10	13
245	4.188808055352e-10	7.707709645330e-10	5.568590082977e-10	13
246	4.350968183515e-10	7.343824632963e-10	5.685666882201e-10	13
247	3.928480307743e-10	7.495534889694e-10	5.868005354101e-10	13
248	3.643989452845e-10	7.187127180444e-10	6.280292311004e-10	13
249	3.968599642791e-10	7.584107614446e-10	6.135095100513e-10	13
250	4.015434166969e-10	7.717434561595e-10	5.797355124176e-10	13
251	4.119181462469e-10	7.603962620475e-10	4.935195392120e-10	13
252	4.056923689564e-10	7.309588746289e-10	4.813903288327e-10	13
253	3.989014483704e-10	7.411100796615e-10	3.987053274022e-10	13
254	3.769967119243e-10	8.115148683612e-10	4.148045890532e-10	13
255	3.486884480528e-10	8.304817234306e-10	4.327488664501e-10	13
256	3.278886716212e-10	8.397069149826e-10	4.527771057979e-10	13
257	3.384361892242e-10	8.802276110676e-10	4.366344233408e-10	13
258	4.101576864944e-10	8.800479661897e-10	4.626948871619e-10	12
259	4.382741269798e-10	9.000018721852e-10	5.212435881001e-10	12
260	4.553835399122e-10	9.281226637915e-10	6.310762564564e-10	12
261	3.900945000720e-10	9.451039028447e-10	7.316452229975e-10	12
262	4.456005934427e-10	1.043433621737e-09	6.614219351858e-10	12
263	5.211353740496e-10	9.835169804799e-10	6.791272727798e-10	12
264	5.845759789818e-10	9.585039113301e-10	5.625940935409e-10	12
265	5.113268025517e-10	1.067522759820e-09	5.000588307409e-10	12
266	4.992039474246e-10	9.855541944405e-10	4.824923823824e-10	12
267	4.977948766782e-10	9.759050738831e-10	4.684344908030e-10	12
268	4.972922041888e-10	1.027335292251e-09	5.418565375951e-10	12
269	4.956394522273e-10	9.630609181671e-10	5.798962599784e-10	12
270	4.659951045101e-10	9.590699849912e-10	6.019288940295e-10	12
271	4.445494647765e-10	9.736921525528e-10	6.527504462998e-10	12
272	4.138620127397e-10	9.181230099511e-10	6.187002655190e-10	12
273	4.334814926807e-10	9.069172100946e-10	5.775228021729e-10	12
274	4.194553048213e-10	8.541070895978e-10	4.959283880802e-10	12
275	4.696839001459e-10	8.358742127821e-10	4.815160541174e-10	12
276	4.260156778638e-10	9.055219017148e-10	4.600003886818e-10	12
277	4.838380280543e-10	8.984950851609e-10	4.923570370658e-10	11
278	4.867414222074e-10	9.164176307609e-10	4.901185736443e-10	11
279	4.655578884978e-10	9.038196288539e-10	4.843346014886e-10	11
280	4.358453114992e-10	9.013830186007e-10	4.713517341146e-10	11
281	4.071623726837e-10	9.622773471998e-10	4.448269791457e-10	11
282	3.555650010472e-10	9.593412042370e-10	5.012104437998e-10	11
283	3.280850603214e-10	9.586078006313e-10	4.854307968605e-10	11
284	3.054446728805e-10	9.947614953204e-10	5.079112456231e-10	11
285	2.552438325738e-10	9.824249046665e-10	5.901954982094e-10	11
286	2.794509852858e-10	1.023949447261e-09	6.344299512326e-10	11
287	2.975346526732e-10	1.052573019312e-09	6.541073532013e-10	11
288	3.220451841409e-10	1.081610142437e-09	5.905181873865e-10	11
289	3.617803284139e-10	1.086164422955e-09	5.874485761400e-10	11
290	3.622340680736e-10	1.141948220310e-09	6.070158006103e-10	11
291	4.189775496286e-10	1.138400816594e-09	5.430331704784e-10	11
292	4.307413927337e-10	1.220180887106e-09	5.092627027668e-10	11
293	4.540208409715e-10	1.267547249507e-09	4.130832858249e-10	11
294	4.678522233475e-10	1.340844429299e-09	3.440121252977e-10	11
295	4.739495863352e-10	1.305016806878e-09	3.125129224914e-10	11
296	4.538815883130e-10	1.266471745769e-09	2.909483787647e-10	11
297	4.376541437219e-10	1.272489531924e-09	3.160230912895e-10	11
298	4.082381580741e-10	1.255766733569e-09	3.839617431073e-10	11
299	4.022397488320e-10	1.216744068889e-09	4.192083472372e-10	11
300	4.901279979363e-10	1.299918042530e-09	4.287942870703e-10	11
301	5.360818270190e-10	1.402065681168e-09	3.898128218968e-10	10
302	5.869346685373e-10	1.407260724145e-09	3.292796079786e-10	10
303	5.216632035998e-10	1.372304235069e-09	3.197613218104e-10	10
304	5.276570629881e-10	1.338853302698e-09	2.835376359979e-10	10
305	5.355946952696e-10	1.331946180263e-09	2.404334664137e-10	10
306	6.093219780279e-10	1.302884113970e-09	2.219857786942e-10	10
307	6.116999699683e-10	1.265464811945e-09	2.272516831316e-10	10
308	5.939836042001e-10	1.204136428845e-09	2.348950986641e-10	10
309	5.729012207164e-10	1.194493717488e-09	2.394415307342e-10	10
310	5.394105741084e-10	1.165214119547e-09	2.767625408433e-10	10
311	5.075652539462e-10	1.200292019024e-09	3.169927865854e-10	10
312	5.039412233033e-10	1.194784689778e-09	3.347094743081e-10	10
313	4.328988962808e-10	1.131006508092e-09	3.411359162834e-10	10
314	4.920991422910e-10	1.138231982641e-09	3.306693485971e-10	10
315	4.781512719268e-10	1.195279880787e-09	3.499685992176e-10	10
316	4.947085221499e-10	1.187902756604e-09	3.818886920033e-10	10
317	4.194548987390e-10	1.176735960369e-09	4.268180173292e-10	10
318	4.330123848654e-10	1.157871513048e-09	5.031729847339e-10	10
319	3.654788459062e-10	1.092478712210e-09	5.490392439432e-10	10
320	3.346408400651e-10	1.075455774148e-09	5.702909193949e-10	10
321	3.235315937011e-10	1.086219998245e-09	5.882983234760e-10	10
322	3.172981472636e-10	1.101097963274e-09	5.527631262454e-10	10
323	3.332088314330e-10	1.098608447830e-09	4.757666753638e-10	10
324	3.262319211742e-10	1.118498083851e-09	4.680463983872e-10	10
325	2.622949292946e-10	1.128601009012e-09	4.342599260371e-10	10
326	2.946776151062e-10	1.136896934886e-09	3.890879219234e-10	10
327	2.717183277062e-10	1.163381554674e-09	3.735363459317e-10	10
328	3.298873337543e-10	1.299254218792e-09	4.417918000065e-10	9
329	2.774212207968e-10	1.328219721196e-09	4.313915622045e-10	9
330	2.259261110184e-10	1.364957805920e-09	4.135885043651e-10	9
331	2.422668539777e-10	1.365114772228e-09	4.057431398808e-10	9
332	2.080870468580e-10	1.416663923912e-09	4.651070453647e-10	9
333	2.451188118877e-10	1.442212838071e-09	4.880282026964e-10	9
334	2.206842667643e-10	1.505988727978e-09	4.778014166104e-10	9
335	2.281109845367e-10	1.530813216000e-09	4.420764253496e-10	9
336	2.582337914939e-10	1.594969834389e-09	4.481429526692e-10	9
337	2.434909025984e-10	1.663755628607e-09	4.231081873116e-10	9
338	2.609915926359e-10	1.655650684993e-09	3.691585502023e-10	9
339	2.385999805596e-10	1.707257794834e-09	3.258336841578e-10	9
340	2.158369134181e-10	1.688090932634e-09	2.557270798717e-10	9
341	2.408634152149e-10	1.655408431486e-09	2.225151567812e-10	9
342	2.658835341299e-10	1.585153212906e-09	2.097073984992e-10	9
343	2.830687467390e-10	1.588603645174e-09	2.182530506936e-10	9
344	2.871544975172e-10	1.557904965597e-09	1.969307796199e-10	9
345	2.698018382709e-10	1.494891801701e-09	1.858909822206e-10	9
346	2.707992553253e-10	1.470716478872e-09	1.888363116743e-10	9
347	2.931482652040e-10	1.461610765931e-09	2.117120139199e-10	9
348	3.352793188370e-10	1.430015217358e-09	1.999701238775e-10	9
349	3.492126900458e-10	1.377643598020e-09	2.149897667156e-10	9
350	4.431979632844e-10	1.372823309990e-09	2.341990664334e-10	9
351	5.031218643278e-10	1.289154560466e-09	2.227400639355e-10	9
352	5.685028884962e-10	1.189754562172e-09	2.333989646774e-10	9
353	5.618445058764e-10	1.197358146454e-09	2.434297460780e-10	9
354	5.631104527729e-10	1.175139451551e-09	2.295631053108e-10	9
355	5.085781453907e-10	1.164391216655e-09	2.300245315298e-10	9
356	5.335108033036e-10	1.160754743952e-09	2.715033065686e-10	9
357	5.622992103655e-10	1.136234244972e-09	2.930937066449e-10	9
358	5.457819361383e-10	1.136701876614e-09	3.281196921125e-10	9
359	5.786889905504e-10	1.106956649978e-09	3.674785119311e-10	9
360	5.735798516868e-10	1.214914628432e-09	3.722404828295e-10	8
361	4.678256156827e-10	1.189325726545e-09	3.765986989159e-10	8
362	4.050150546789e-10	1.163428440155e-09	3.785581448745e-10	8
363	3.354867701590e-10	1.136273279537e-09	3.339217749648e-10	8
364	3.410330757975e-10	1.069767980788e-09	3.095414895227e-10	8
365	2.867971651968e-10	1.018709647524e-09	3.123945954718e-10	8
366	2.128881014494e-10	9.811897620095e-10	2.974261538015e-10	8
367	2.316598055711e-10	9.420915087928e-10	2.571556263158e-10	8
368	2.321560607737e-10	9.388072614450e-10	2.796269643660e-10	8
369	2.978063621131e-10	9.484307964572e-10	2.768134638992e-10	8
370	2.735310225700e-10	9.611934657097e-10	2.754470918933e-10	8
371	2.360977332940e-10	9.362734620614e-10	2.995421258702e-10	8
372	2.044556543792e-10	8.992809058356e-10	3.872454839393e-10	8
373	2.425392349714e-10	8.823433230056e-10	4.258649047663e-10	8
374	2.468071411050e-10	8.891708783399e-10	4.279182328975e-10	8
375	2.385371131384e-10	9.018147557802e-10	4.372497705626e-10	8
376	1.917570070527e-10	8.893557649038e-10	3.961253333444e-10	8
377	1.965620848405e-10	8.741515634456e-10	2.894459364203e-10	8
378	2.023615432913e-10	8.730937060064e-10	3.209811821920e-10	8
379	1.902819281639e-10	8.782402818317e-10	2.995973818804e-10	8
380	1.981572622140e-10	8.796731124491e-10	2.881855424857e-10	8
381	1.945684509936e-10	8.910660762195e-10	2.512166147122e-10	8
382	1.698886592441e-10	9.296939159384e-10	2.127909872724e-10	8
383	1.680711398018e-10	9.789580620405e-10	2.288872451860e-10	8
384	1.469506921521e-10	1.006823452207e-09	2.082377279892e-10	8
385	1.718424397559e-10	1.001763177862e-09	2.128699238883e-10	8
386	1.795359032503e-10	9.774686776582e-10	2.190506814815e-10	8
387	1.833250580261e-10	9.684250338506e-10	2.274431877098e-10	8
388	2.245930277386e-10	9.731819102839e-10	2.316825032092e-10	8
389	2.670723792742e-10	1.016747199497e-09	2.238688101595e-10	8
390	2.751045436218e-10	1.039684258716e-09	2.131810158481e-10	8
391	2.688006542913e-10	1.082702446754e-09	2.207069894120e-10	8
392	2.771695122854e-10	1.099220729134e-09	2.099680806535e-10	8
393	3.171628075348e-10	1.146237914087e-09	2.166156204232e-10	8
394	3.443415970202e-10	1.182506786119e-09	2.224534844958e-10	8
395	3.594006347388e-10	1.170525280037e-09	2.219926218167e-10	8
396	3.475005418498e-10	1.144735212114e-09	2.321681692428e-10	8
397	3.627580982272e-10	1.142128495961e-09	2.280785869737e-10	8
398	3.598797266509e-10	1.119033181946e-09	2.206105483882e-10	8
399	3.551949333364e-10	1.143442220185e-09	2.307281069743e-10	8
400	3.683276661344e-10	1.213453057718e-09	2.579258573434e-10	8
401	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
402	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
403	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
404	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
405	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
406	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
407	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
408	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
409	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
