order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
19,9,2,163128581,165128488,1.9999070000000074,90.0,85.0,169.99209500000063,-145.48980830972704,3.7107107658764997,-3.8039376043337767,145.63292427672724,141
20,10,2,167828337,169628268,1.7999309999999866,100.0,95.0,170.99344499999873,-144.46637013693461,4.072484376455896,-3.818937271418221,144.61655976843286,127
21,1,3,172328138,190327238,17.9991,10.0,55.0,989.9504999999999,-183.41861976325958,4.92529736874806,-11.657448521954274,183.98738388368983,1261
22,2,3,193027091,202026663,8.999572,20.0,15.0,134.99358,-164.9311391897216,4.44261951141779,-7.243615969274134,165.33036868655932,631
23,3,3,204726511,210726228,5.999717000000004,30.0,25.0,149.9929250000001,-158.34335399737057,4.178722224133483,-5.87671829908834,158.54689748369873,421
24,4,3,213426049,217911570,4.485521000000006,40.0,35.0,156.9932350000002,-154.2615285552716,4.0150842916238405,-5.092076507012093,154.42262069822453,315
25,5,3,220611442,224196941,3.5854989999999987,50.0,45.0,161.34745499999994,-151.59385860277519,4.011822549175517,-4.716249319953955,151.752762017375,252
26,6,3,226896825,229882406,2.9855809999999963,60.0,55.0,164.2069549999998,-149.30936919334067,3.9363293186437733,-4.321146298368259,149.4478071068158,210
27,7,3,232582272,235139279,2.5570069999999987,70.0,65.0,166.20545499999992,-148.2230818876934,3.2557220899854027,-4.066564029452526,148.35009026615705,180
28,8,3,237839127,240081862,2.2427350000000104,80.0,75.0,168.20512500000078,-146.57097905877828,4.098641230683032,-3.8280288487386342,146.71861953241853,158
29,9,3,242781762,244781634,1.9998720000000105,90.0,85.0,169.9891200000009,-145.8428934156651,3.50824517368076,-3.8293989467369673,145.97142978568573,141
30,10,3,247481491,249281449,1.7999580000000037,100.0,95.0,170.99601000000035,-144.26359820827537,4.309668129725741,-3.6892661129203073,144.41637940730814,127
31,1,4,251981279,269980383,17.999104000000017,10.0,55.0,989.950720000001,-183.07550059147303,4.726672307953148,-11.359776404057701,183.6140730321732,1261
32,2,4,272680279,281679785,8.999505999999997,20.0,15.0,134.99258999999995,-164.83368698101788,4.755648289203991,-7.45047218824906,165.24234665894278,631
33,3,4,284379646,290379356,5.999709999999993,30.0,25.0,149.99274999999983,-158.0312602008215,4.166147676005656,-5.728305735680266,158.22798528658984,421
34,4,4,293079211,297564708,4.485497000000009,40.0,35.0,156.99239500000033,-154.1335575312148,4.178177941432671,-5.083621237132989,154.2971904869123,315
35,5,4,300264602,303850127,3.5855249999999614,50.0,45.0,161.34862499999826,-151.5446756569856,4.002001377338242,-4.700712613570481,151.7023742519287,252
36,6,4,306550016,309535580,2.985563999999954,60.0,55.0,164.20601999999747,-149.46989342017474,4.1147863770249575,-4.343866566665511,149.62313292096496,210
37,7,4,312235439,314792450,2.5570109999999886,70.0,65.0,166.20571499999926,-147.99469284364517,3.6498184839775965,-4.1344473917812445,148.13171384567318,180
38,8,4,317492316,319735048,2.2427319999999895,80.0,75.0,168.2048999999992,-146.62851063752237,4.216214236926981,-3.9852750737773865,146.78038297159407,158
39,9,4,322434915,324434796,1.9998810000000162,90.0,85.0,169.98988500000138,-145.52577744446754,3.890398439946673,-3.913486623162567,145.67148921615723,141
40,10,4,327134688,328934604,1.799915999999996,100.0,95.0,170.99201999999963,-143.981921749956,4.130938766981784,-3.691476949667332,144.1213744595666,127
41,1,5,331634442,349633545,17.999103000000048,10.0,55.0,989.9506650000026,-183.30124733693623,5.0425081443354305,-11.608310996379299,183.86820436011396,1261
42,2,5,352333391,361332960,8.999569000000008,20.0,15.0,134.99353500000012,-164.9499698336502,4.194069290554733,-7.170715973860817,165.3340695173078,631
43,3,5,364032825,370032507,5.999682000000007,30.0,25.0,149.99205000000018,-158.39000073552086,4.1466349016261095,-5.950273944856778,158.59391257113026,421
44,4,5,372732387,377217873,4.48548599999998,40.0,35.0,156.9920099999993,-154.17399925924462,4.0291785794150945,-5.0907824745529,154.3325878361875,315
45,5,5,379917726,383503293,3.585566999999969,50.0,45.0,161.3505149999986,-151.68162876426157,4.064183872951348,-4.814001344812231,151.83453676541427,252
46,6,5,386203169,389188707,2.9855380000000196,60.0,55.0,164.20459000000108,-149.22681767362195,4.216318237500468,-4.396625725033378,149.38193972585998,210
47,7,5,391888569,394445602,2.55703299999999,70.0,65.0,166.20714499999934,-147.5472608926046,3.6841453395622175,-4.260489216846326,147.68944920721702,180
48,8,5,397145464,399388199,2.242734999999982,80.0,75.0,168.20512499999865,-146.91457154694072,3.6800559050152337,-4.008982390692697,147.051140552148,158
49,9,5,402088065,404087971,1.99990600000001,90.0,85.0,169.99201000000085,-145.79924862739338,3.807587523251975,-3.8610183347632843,145.94175333314766,141
50,10,5,406787818,408587751,1.79993300000001,100.0,95.0,170.99363500000095,-144.55181332078632,3.733176788399732,-3.703442842427284,144.6862972349482,127
