order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
29,9,3,242781762,244781634,1.9998720000000105,90.0,85.0,169.9891200000009,-176.6624244276608,2.9796915638380357,-3.7789490600439595,176.75590373736614,141
30,10,3,247481491,249281449,1.7999580000000037,100.0,95.0,170.99601000000035,-174.74963629716885,3.7874931728819585,-3.638542054115949,174.85999862660177,127
31,1,4,251981279,269980383,17.999104000000017,10.0,55.0,989.950720000001,-221.741840389134,1.0522242211160415,-11.412004124808124,222.1343910457271,1261
32,2,4,272680279,281679785,8.999505999999997,20.0,15.0,134.99258999999995,-199.65713463587517,2.8219669822738638,-7.43778826331184,199.94931492047965,631
33,3,4,284379646,290379356,5.999709999999993,30.0,25.0,149.99274999999983,-191.42119464206021,2.836868554440146,-5.703168315119961,191.5568062874054,421
34,4,4,293079211,297564708,4.485497000000009,40.0,35.0,156.99239500000033,-186.7018274838365,3.14150024426311,-5.047275838094073,186.81442417644092,315
35,5,4,300264602,303850127,3.5855249999999614,50.0,45.0,161.34862499999826,-183.5670454982747,3.146623599224961,-4.657700072299841,183.67840292585527,252
36,6,4,306550016,309535580,2.985563999999954,60.0,55.0,164.20601999999747,-181.0546019522933,3.3709873751560977,-4.298635284327944,181.16262201955732,210
37,7,4,312235439,314792450,2.5570109999999886,70.0,65.0,166.20571499999926,-179.26822046857893,3.007718003019212,-4.0866347797219165,179.36618398308104,180
38,8,4,317492316,319735048,2.2427319999999895,80.0,75.0,168.2048999999992,-177.61374084357269,3.6121056519778123,-3.9354729218639486,177.72285292755143,158
39,9,4,322434915,324434796,1.9998810000000162,90.0,85.0,169.98988500000138,-176.27828952500082,3.3464333677992664,-3.861194358861978,176.3841243929337,141
40,10,4,327134688,328934604,1.799915999999996,100.0,95.0,170.99201999999963,-174.40843072243447,3.6159789157138524,-3.6407037443319203,174.509268014703,127
41,1,5,331634442,349633545,17.999103000000048,10.0,55.0,989.9506650000026,-222.01529618961376,1.3553246752370183,-11.655092813306121,222.4254945678769,1261
42,2,5,352333391,361332960,8.999569000000008,20.0,15.0,134.99353500000012,-199.7979924846497,2.2830205660009755,-7.164163117888325,200.07576952018144,631
43,3,5,364032825,370032507,5.999682000000007,30.0,25.0,149.99205000000018,-191.85575102087182,2.818148021128101,-5.920272291013966,191.99704751298884,421
44,4,5,372732387,377217873,4.48548599999998,40.0,35.0,156.9920099999993,-186.75081613450428,2.99851117274393,-5.054279974522037,186.86029636037898,315
45,5,5,379917726,383503293,3.585566999999969,50.0,45.0,161.3505149999986,-183.73294205790677,3.20629055559304,-4.768507124883945,183.8402382153276,252
46,6,5,386203169,389188707,2.9855380000000196,60.0,55.0,164.20459000000108,-180.7601548967996,3.4684301579522208,-4.35023794962607,180.86938752621387,210
47,7,5,391888569,394445602,2.55703299999999,70.0,65.0,166.20714499999934,-178.72622874124332,3.0406564247068495,-4.209915145866013,178.82854185295048,180
48,8,5,397145464,399388199,2.242734999999982,80.0,75.0,168.20512499999865,-177.9602575275349,3.097566468064519,-3.958660814520099,178.05921910581537,158
49,9,5,402088065,404087971,1.99990600000001,90.0,85.0,169.99201000000085,-176.60955575427482,3.2669568301740455,-3.8098761732620727,176.7132608316582,141
50,10,5,406787818,408587751,1.79993300000001,100.0,95.0,170.99363500000095,-175.09876248929436,3.2342527633567535,-3.6524077250160665,175.1970059091751,127
