order_idx,run_idx,set_id,start_ts_us,end_ts_us,duration_s,V_cmd,avg_speed_used,commanded_angle_est_deg,final_ang_x_deg,final_ang_y_deg,final_ang_z_deg,total_ang_disp_deg,N_samples
31,1,4,252338415,270337510,17.99909500000001,10.0,55.0,989.9502250000006,-40.52844598224512,-183.85938985514633,-9.746397325939913,189.10047379179616,1261
32,2,4,273037407,282036916,8.999509000000046,20.0,15.0,134.9926350000007,-17.987596316139086,-180.04538123208832,-5.606633518618124,181.32269464674556,631
33,3,4,284736812,290736516,5.999704000000008,30.0,25.0,149.9926000000002,-10.879377158833915,-178.78396770138374,-4.209394094807892,179.28168076626605,421
34,4,4,293436364,297921836,4.485471999999959,40.0,35.0,156.99151999999856,-7.143783995311837,-177.1849518728613,-3.541080088244037,177.45368822858006,315
35,5,4,300621724,304207238,3.585514000000046,50.0,45.0,161.34813000000207,-4.921533864694085,-175.86041911869518,-3.1736818279780796,176.0488039208879,252
36,6,4,306907101,309892690,2.9855890000000045,60.0,55.0,164.20739500000025,-3.603282274068963,-174.49955721896845,-2.8621653981280026,174.64227396002775,210
37,7,4,312592523,315149573,2.557049999999947,70.0,65.0,166.20824999999655,-2.6374039245499628,-173.86382916924848,-2.663882097849881,173.97146060477226,180
38,8,4,317849437,320092176,2.242738999999972,80.0,75.0,168.2054249999979,-1.7967050827190347,-172.89645517401817,-2.4451842361279748,173.00147286780197,158
39,9,4,322792046,324791950,1.9999039999999582,90.0,85.0,169.99183999999644,-1.2828330343838608,-172.25491889223252,-2.338986349008015,172.3456594252816,141
40,10,4,327491812,329291718,1.7999060000000213,100.0,95.0,170.99107000000203,-0.7553274136759911,-170.66207273702517,-2.2982128918121174,170.75775340153575,127
41,1,5,331991553,349990674,17.999121000000002,10.0,55.0,989.9516550000001,-40.53597720899107,-183.42229558779246,-9.825824257741901,188.63681279869581,1261
42,2,5,352690518,361690102,8.999584000000027,20.0,15.0,134.9937600000004,-18.306848257314016,-180.07644816191458,-5.795896922167907,181.32396114040233,631
43,3,5,364389949,370389648,5.999699000000021,30.0,25.0,149.99247500000052,-11.004294489829075,-178.71398115207904,-4.226734799047952,179.20425173641024,421
44,4,5,373089521,377574994,4.485473000000013,40.0,35.0,156.99155500000046,-7.177973356032963,-176.8211668263832,-3.4777843117459484,177.09683673316016,315
45,5,5,380274872,383860408,3.5855359999999905,50.0,45.0,161.34911999999957,-5.039821583555924,-175.80827745740592,-3.1725430203720153,175.9711302045569,252
46,6,5,386560261,389545818,2.9855569999999716,60.0,55.0,164.20563499999844,-3.6546306201469596,-174.76191603949584,-2.8835495596139618,174.90510672452677,210
47,7,5,392245685,394802716,2.557030999999995,70.0,65.0,166.20701499999967,-2.395577985301153,-173.42510444929894,-2.588300859261955,173.54379983892306,180
48,8,5,397502591,399745345,2.242753999999991,80.0,75.0,168.2065499999993,-1.6277249276339387,-172.23958809293308,-2.492974808858082,172.35754326736404,158
49,9,5,402445176,404445088,1.9999119999999948,90.0,85.0,169.99251999999956,-1.108075783051986,-172.4094727353504,-2.250154930973888,172.5111904931538,141
50,10,5,407144949,408944891,1.7999419999999873,100.0,95.0,170.9944899999988,-0.7956378708319242,-171.4419191846305,-2.103492648333956,171.53938768941737,127
